"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","International Single Parcel","","0","0","7","0","0"
"","Purolator Single Domestic Signature","","0","0","7","0","0"
"","Purolator Courier Label Purchase Single Domestic","","0","0","7","0","0"
"","Purolator Single Domestic Insurance","","0","0","7","0","0"
"","Canadapost Single Domestic Insurance","","0","0","7","0","0"
"","Loomis API Domestic Shipment Residential","","0","0","7","0","0"
"","Canadapost Single Domestic Residential","","0","0","7","0","0"
"","GLS Multi-Package Domestic","","0","0","7","0","0"
"","Quick Quote Domestic Shipment One","","0","0","10","0","0"
"","Loomis API Courier Label Purchase Single Domestic","","0","0","7","0","0"
"","Purolator Multi-Package Domestic","","0","0","7","0","0"
"","Quick Quote DHL","","0","5","5","0","0"
"","Loomis API Single Domestic Insurance","","0","0","7","0","0"
"","Quick Quote Domestic shipment Two","","0","5","5","0","0"
"","GLS Courier Label Purchase Single Domestic","","0","0","7","0","0"
"","GLS Single Domestic Insurance","","0","0","7","0","0"
"","Canadapost Xpresspost Courier Single Domestic","","0","0","7","0","0"
"","Canadapost Single Domestic Signature","","0","0","7","0","0"
"","GLS Single Domestic Signature","","0","0","7","0","0"
"","signin Page load","","0","0","1","0","0"
"","International Single Document","","0","0","7","0","0"
"","International Multi Package","","0","0","7","0","0"
"","International Insurance Default","","0","0","7","0","0"
"","Purolator Domestic Shipment Residential","","0","3","4","0","0"
"","Loomis API Single Domestic Signature","","0","0","7","0","0"
"","Loomis API Multi-Package Domestic","","0","0","7","0","0"
"","GLS Domestic Shipment Residential","","0","0","7","0","0"
