"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 15:43:56 BDT 2024","Wed Jun 12 15:44:00 BDT 2024","3452","","International Single Parcel","","","","Review & Confirm DHL Courier International Single Parcel",""
"passed","Wed Jun 12 15:34:08 BDT 2024","Wed Jun 12 15:34:23 BDT 2024","14267","","Purolator Single Domestic Signature","","","","Lets Build Your Shipment Purolator Single Domestic Signature",""
"passed","Wed Jun 12 15:04:01 BDT 2024","Wed Jun 12 15:04:33 BDT 2024","32074","","Purolator Courier Label Purchase Single Domestic","","","","Label Print & Download Purolator Single Domestic",""
"passed","Wed Jun 12 15:26:08 BDT 2024","Wed Jun 12 15:26:39 BDT 2024","30543","","Purolator Single Domestic Insurance","","","","Label Print & Download Purolator  Single Domestic Insurance",""
"passed","Wed Jun 12 15:18:40 BDT 2024","Wed Jun 12 15:19:29 BDT 2024","49291","","Canadapost Single Domestic Insurance","","","","From Select Canadapost Single Domestic Insurance",""
"passed","Wed Jun 12 15:11:32 BDT 2024","Wed Jun 12 15:11:36 BDT 2024","3967","","Loomis API Domestic Shipment Residential","","","","Review & Confirm Loomis API Courier",""
"passed","Wed Jun 12 15:43:09 BDT 2024","Wed Jun 12 15:43:22 BDT 2024","13279","","International Single Parcel","","","","Lets Build Your Commercial Invoice International Single Parcel",""
"passed","Wed Jun 12 15:35:51 BDT 2024","Wed Jun 12 15:35:56 BDT 2024","4413","","Purolator Single Domestic Signature","","",""," Label print and Download Done Domestic Shipment signature",""
"passed","Wed Jun 12 15:07:17 BDT 2024","Wed Jun 12 15:07:21 BDT 2024","4388","","Canadapost Single Domestic Residential","","",""," Label print and Download Done Domestic Shipment Residential",""
"passed","Wed Jun 12 15:03:02 BDT 2024","Wed Jun 12 15:03:57 BDT 2024","54834","","Purolator Courier Label Purchase Single Domestic","","","","From Select Purolator Single Domestic",""
"passed","Wed Jun 12 15:37:34 BDT 2024","Wed Jun 12 15:37:50 BDT 2024","16740","","GLS Multi-Package Domestic","","","","Label Print & Download GLS Multi-Package Domestic",""
"passed","Wed Jun 12 15:52:33 BDT 2024","Wed Jun 12 15:52:50 BDT 2024","16453","","Quick Quote Domestic Shipment One","","","","Quick Quote Label Print & Download Domestic Shipment courier",""
"passed","Wed Jun 12 15:17:49 BDT 2024","Wed Jun 12 15:17:56 BDT 2024","7228","","Canadapost Single Domestic Insurance","","","","""before all"" hook for Canadapost Single Domestic Insurance",""
"passed","Wed Jun 12 15:00:40 BDT 2024","Wed Jun 12 15:01:41 BDT 2024","61444","","Loomis API Courier Label Purchase Single Domestic","","","","From Select Loomis API Single Domestic",""
"passed","Wed Jun 12 15:41:48 BDT 2024","Wed Jun 12 15:41:51 BDT 2024","3514","","Purolator Multi-Package Domestic","","","","Review & Confirm Purolator Multi-Package Domestic",""
"passed","Wed Jun 12 15:17:56 BDT 2024","Wed Jun 12 15:18:22 BDT 2024","25885","","Canadapost Single Domestic Insurance","","","","Destination Address Canadapost Single Domestic Insurance",""
"broken","Wed Jun 12 16:00:24 BDT 2024","Wed Jun 12 16:00:29 BDT 2024","4753","","Quick Quote DHL","","",""," Quick Quote Destination Address DHL",""
"passed","Wed Jun 12 15:44:19 BDT 2024","Wed Jun 12 15:44:24 BDT 2024","4672","","International Single Parcel","","",""," Label print and Download Done International Single Parcel",""
"passed","Wed Jun 12 15:35:18 BDT 2024","Wed Jun 12 15:35:21 BDT 2024","3120","","Purolator Single Domestic Signature","","","","Review & Confirm Purolator Single Domestic Signature",""
"passed","Wed Jun 12 15:00:25 BDT 2024","Wed Jun 12 15:00:40 BDT 2024","14930","","Loomis API Courier Label Purchase Single Domestic","","","","Lets Build Your Shipment Loomis API Single Domestic",""
"passed","Wed Jun 12 15:02:49 BDT 2024","Wed Jun 12 15:03:02 BDT 2024","12647","","Purolator Courier Label Purchase Single Domestic","","","","Lets Build Your Shipment Purolator Single Domestic",""
"passed","Wed Jun 12 15:59:26 BDT 2024","Wed Jun 12 16:00:16 BDT 2024","49679","","Quick Quote DHL","","","","Quick Quote Origin Destination postal code province country address DHL",""
"passed","Wed Jun 12 15:22:16 BDT 2024","Wed Jun 12 15:22:23 BDT 2024","7403","","Loomis API Single Domestic Insurance","","","","""before all"" hook for Loomis API Single Domestic Insurance",""
"passed","Wed Jun 12 15:50:00 BDT 2024","Wed Jun 12 15:50:04 BDT 2024","3244","","Quick Quote Domestic Shipment One","","","","Quick Quote Domestic Shipment",""
"broken","Wed Jun 12 15:54:22 BDT 2024","Wed Jun 12 15:54:27 BDT 2024","4780","","Quick Quote Domestic shipment Two","","",""," Quick Quote Destination Address for Domestic shipment two",""
"passed","Wed Jun 12 15:23:57 BDT 2024","Wed Jun 12 15:24:02 BDT 2024","4480","","Loomis API Single Domestic Insurance","","","","Review & Confirm Loomis Single Domestic Insurance",""
"passed","Wed Jun 12 14:58:11 BDT 2024","Wed Jun 12 14:58:24 BDT 2024","12658","","GLS Courier Label Purchase Single Domestic","","","","Lets Build Your Shipment GLS Single Domestic",""
"passed","Wed Jun 12 15:59:04 BDT 2024","Wed Jun 12 15:59:09 BDT 2024","4336","","Quick Quote Domestic shipment Two","","",""," Label print and Download Done Quick Quote for Domestic shipment two",""
"passed","Wed Jun 12 15:42:32 BDT 2024","Wed Jun 12 15:42:39 BDT 2024","7297","","International Single Parcel","","","","""before all"" hook for International Single Parcel",""
"passed","Wed Jun 12 15:20:38 BDT 2024","Wed Jun 12 15:20:50 BDT 2024","11911","","GLS Single Domestic Insurance","","","","Lets Build Your Shipment GLS Single Domestic Insurance",""
"passed","Wed Jun 12 14:56:59 BDT 2024","Wed Jun 12 14:57:04 BDT 2024","4834","","Canadapost Xpresspost Courier Single Domestic","","","","Review & Confirm Canadapost Single Domestic",""
"passed","Wed Jun 12 15:26:39 BDT 2024","Wed Jun 12 15:26:43 BDT 2024","4428","","Purolator Single Domestic Insurance","","",""," Label print and Download Done Domestic Shipment Insurance",""
"passed","Wed Jun 12 15:26:55 BDT 2024","Wed Jun 12 15:27:21 BDT 2024","26026","","Canadapost Single Domestic Signature","","","","Destination Address Canadapost Single Domestic Signature",""
"passed","Wed Jun 12 15:30:53 BDT 2024","Wed Jun 12 15:31:11 BDT 2024","18363","","GLS Single Domestic Signature","","","","Label Print & Download GLS Single Domestic Signature",""
"passed","Wed Jun 12 15:43:22 BDT 2024","Wed Jun 12 15:43:56 BDT 2024","33957","","International Single Parcel","","","","Select DHL courier International Single Parcel",""
"passed","Wed Jun 12 14:54:57 BDT 2024","Wed Jun 12 14:55:06 BDT 2024","8469","","signin Page load","","","","signin button click",""
"broken","Wed Jun 12 15:56:02 BDT 2024","Wed Jun 12 15:57:32 BDT 2024","90234","","Quick Quote Domestic shipment Two","","","","Quick Quote Review & Confirm for Domestic shipment two",""
"passed","Wed Jun 12 15:23:00 BDT 2024","Wed Jun 12 15:23:57 BDT 2024","57362","","Loomis API Single Domestic Insurance","","","","From Select Loomis API Courier",""
"passed","Wed Jun 12 15:02:23 BDT 2024","Wed Jun 12 15:02:49 BDT 2024","26190","","Purolator Courier Label Purchase Single Domestic","","","","Origin Destination Address Purolator Single Domestic",""
"passed","Wed Jun 12 15:44:36 BDT 2024","Wed Jun 12 15:45:05 BDT 2024","29656","","International Single Document","","","","Destination Address International Single Document",""
"passed","Wed Jun 12 15:11:53 BDT 2024","Wed Jun 12 15:11:57 BDT 2024","4412","","Loomis API Domestic Shipment Residential","","",""," Label print and Download Done Loomis API Domestic Shipment Residential",""
"passed","Wed Jun 12 15:28:23 BDT 2024","Wed Jun 12 15:28:26 BDT 2024","3559","","Canadapost Single Domestic Signature","","","","Review & Confirm Canadapost Single Domestic Signature",""
"passed","Wed Jun 12 15:48:06 BDT 2024","Wed Jun 12 15:48:35 BDT 2024","29729","","International Multi Package","","","","Destination Address InternationalMulti Package",""
"passed","Wed Jun 12 15:45:41 BDT 2024","Wed Jun 12 15:45:46 BDT 2024","4922","","International Single Document","","","","Review & Confirm DHL Courier International Single Document",""
"passed","Wed Jun 12 15:26:48 BDT 2024","Wed Jun 12 15:26:55 BDT 2024","7311","","Canadapost Single Domestic Signature","","","","""before all"" hook for Canadapost Single Domestic Signature",""
"passed","Wed Jun 12 15:37:50 BDT 2024","Wed Jun 12 15:37:55 BDT 2024","4382","","GLS Multi-Package Domestic","","",""," Label print and Download Done Domestic Shipment Multi-Package",""
"passed","Wed Jun 12 15:52:59 BDT 2024","Wed Jun 12 15:53:06 BDT 2024","7282","","Quick Quote Domestic shipment Two","","","","""before all"" hook for Quick Quote Domestic shipment Two",""
"broken","Wed Jun 12 16:00:29 BDT 2024","Wed Jun 12 16:00:33 BDT 2024","4596","","Quick Quote DHL","","","","Lets Build Your Commercial Invoice International DHL",""
"passed","Wed Jun 12 14:57:29 BDT 2024","Wed Jun 12 14:57:34 BDT 2024","4612","","Canadapost Xpresspost Courier Single Domestic","","",""," Label print and Download Done Single Domestic",""
"passed","Wed Jun 12 15:01:46 BDT 2024","Wed Jun 12 15:02:07 BDT 2024","21296","","Loomis API Courier Label Purchase Single Domestic","","","","Label Print & Download Loomis API Single Domestic",""
"passed","Wed Jun 12 15:22:47 BDT 2024","Wed Jun 12 15:23:00 BDT 2024","12292","","Loomis API Single Domestic Insurance","","","","Lets Build Your Shipment Loomis API Single Domestic Insurance",""
"passed","Wed Jun 12 15:28:26 BDT 2024","Wed Jun 12 15:28:54 BDT 2024","27428","","Canadapost Single Domestic Signature","","","","Label Print & Download Canadapost Single Domestic Signature",""
"passed","Wed Jun 12 15:41:51 BDT 2024","Wed Jun 12 15:42:23 BDT 2024","31818","","Purolator Multi-Package Domestic","","","","Label Print & Download Purolator Multi-Package Domestic",""
"passed","Wed Jun 12 15:25:22 BDT 2024","Wed Jun 12 15:26:04 BDT 2024","42207","","Purolator Single Domestic Insurance","","","","From Select Purolator  Single Domestic Insurance",""
"passed","Wed Jun 12 15:47:30 BDT 2024","Wed Jun 12 15:47:33 BDT 2024","3490","","International Insurance Default","","","","Review & Confirm DHL Courier International Insurance Default",""
"passed","Wed Jun 12 14:59:22 BDT 2024","Wed Jun 12 14:59:26 BDT 2024","4194","","GLS Courier Label Purchase Single Domestic","","","","Review & Confirm GLS Single Domestic",""
"passed","Wed Jun 12 15:45:46 BDT 2024","Wed Jun 12 15:46:02 BDT 2024","16427","","International Single Document","","","","Label Print & Download DHL Courier International Single Document",""
"passed","Wed Jun 12 15:04:33 BDT 2024","Wed Jun 12 15:04:38 BDT 2024","4827","","Purolator Courier Label Purchase Single Domestic","","",""," Label print and Download Done Single Domestic",""
"passed","Wed Jun 12 14:57:47 BDT 2024","Wed Jun 12 14:58:11 BDT 2024","24254","","GLS Courier Label Purchase Single Domestic","","","","Origin Destination Address GLS Single Domestic",""
"passed","Wed Jun 12 15:20:15 BDT 2024","Wed Jun 12 15:20:38 BDT 2024","23382","","GLS Single Domestic Insurance","","","","Destination Address GLS Single Domestic Insurance",""
"passed","Wed Jun 12 15:09:50 BDT 2024","Wed Jun 12 15:10:22 BDT 2024","32533","","Loomis API Domestic Shipment Residential","","","","Origin Destination Address Loomis API Domestic Shipment Residential",""
"passed","Wed Jun 12 15:12:44 BDT 2024","Wed Jun 12 15:12:57 BDT 2024","12437","","Purolator Domestic Shipment Residential","","","","Lets Build Your Shipment Purolator Domestic Shipment Residential",""
"passed","Wed Jun 12 15:31:20 BDT 2024","Wed Jun 12 15:31:27 BDT 2024","7265","","Loomis API Single Domestic Signature","","","","""before all"" hook for Loomis API Single Domestic Signature",""
"passed","Wed Jun 12 15:32:00 BDT 2024","Wed Jun 12 15:33:00 BDT 2024","60154","","Loomis API Single Domestic Signature","","","","From Select Loomis API Single Domestic Signature",""
"passed","Wed Jun 12 15:28:54 BDT 2024","Wed Jun 12 15:28:59 BDT 2024","4722","","Canadapost Single Domestic Signature","","",""," Label print and Download Done Domestic Shipment signature",""
"passed","Wed Jun 12 15:30:49 BDT 2024","Wed Jun 12 15:30:53 BDT 2024","3462","","GLS Single Domestic Signature","","","","Review & Confirm GLS Single Domestic Signature",""
"passed","Wed Jun 12 14:59:44 BDT 2024","Wed Jun 12 14:59:49 BDT 2024","4419","","GLS Courier Label Purchase Single Domestic","","",""," Label print and Download Done Single Domestic",""
"passed","Wed Jun 12 15:29:04 BDT 2024","Wed Jun 12 15:29:12 BDT 2024","7570","","GLS Single Domestic Signature","","","","""before all"" hook for GLS Single Domestic Signature",""
"passed","Wed Jun 12 15:38:30 BDT 2024","Wed Jun 12 15:38:41 BDT 2024","10496","","Loomis API Multi-Package Domestic","","","","Lets Build Your Shipment Loomis API Multi-Package Domestic",""
"passed","Wed Jun 12 15:08:17 BDT 2024","Wed Jun 12 15:09:15 BDT 2024","58080","","GLS Domestic Shipment Residential","","","","From Select GLS Domestic Shipment Residential",""
"passed","Wed Jun 12 15:53:06 BDT 2024","Wed Jun 12 15:53:10 BDT 2024","3746","","Quick Quote Domestic shipment Two","","","","Quick Quote for Domestic shipment two",""
"passed","Wed Jun 12 14:58:24 BDT 2024","Wed Jun 12 14:59:22 BDT 2024","58641","","GLS Courier Label Purchase Single Domestic","","","","From Select GLS Single Domestic",""
"passed","Wed Jun 12 15:02:16 BDT 2024","Wed Jun 12 15:02:23 BDT 2024","6945","","Purolator Courier Label Purchase Single Domestic","","","","OPen the app",""
"passed","Wed Jun 12 15:33:24 BDT 2024","Wed Jun 12 15:33:28 BDT 2024","4394","","Loomis API Single Domestic Signature","","",""," Label print and Download Done Domestic Shipment signature",""
"passed","Wed Jun 12 15:49:25 BDT 2024","Wed Jun 12 15:49:26 BDT 2024","884","","International Multi Package","","","","Review & Confirm DHL Courier International Multi Package",""
"broken","Wed Jun 12 15:57:32 BDT 2024","Wed Jun 12 15:59:04 BDT 2024","92282","","Quick Quote Domestic shipment Two","","","","Quick Quote Label Print & Download for Domestic shipment two",""
"passed","Wed Jun 12 15:10:33 BDT 2024","Wed Jun 12 15:11:32 BDT 2024","58800","","Loomis API Domestic Shipment Residential","","","","From Select Loomis API Domestic Shipment Residential",""
